Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Alimentos preparados;525;Acarajé;50,5;289;1210;8,3;19,9;25;19,1;9,4;2,1;124;51;525;0,59;142;1,9;305;354;0,23;1,2;Tr;;;0,06;Tr;Tr;Tr; 
Alimentos preparados;526;Arroz carreteiro;68,0;154;643;10,8;7,1;36;11,6;1,5;2,4;13;9;526;0,18;48;1,0;1622;87;0,08;2,7;Tr;;;0,03;Tr;0,07;1,60; 
Alimentos preparados;527;Baião de dois, arroz e feijão-de-corda;69,1;136;568;6,2;3,2;4;20,4;5,1;1,1;33;19;527;0,27;72;0,6;93;157;0,08;0,6;Tr;;;0,04;Tr;0,04;Tr;Tr
Alimentos preparados;528;Barreado;71,2;165;690;18,3;9,5;60;0,2;0,1;0,8;15;21;528;0,05;169;2,4;48;295;0,17;4,8;Tr;;;0,03;0,04;Tr;2,09;Tr
Alimentos preparados;529;Bife à cavalo, com contra filé;54,2;291;1219;23,7;21,1;257;0,0;NA;1,1;26;19;529;0,02;216;2,1;83;272;0,06;3,2;37;;;0,05;0,10;Tr;2,92;
Alimentos preparados;530;Bolinho de arroz;41,5;274;1144;8,0;8,3;70;41,7;2,7;0,5;24;13;530;0,42;87;2,1;59;96;0,13;0,9;Tr;;;0,08;0,05;Tr;Tr;Tr
Alimentos preparados;531;Camarão à baiana;82,0;101;422;7,9;6,0;117;3,2;0,4;0,9;43;15;531;0,11;244;1,4;85;139;0,07;0,5;Tr;;;Tr;Tr;Tr;0,31;4,1
Alimentos preparados;532;Charuto, de repolho;81,5;78;327;6,8;1,1;21;10,1;1,5;0,4;23;13;532;0,22;68;0,9;12;184;1,45;1,8;Tr;;;0,03;Tr;Tr;0,32;4,8
Alimentos preparados;533;Cuscuz, de milho, cozido com sal;71,1;113;475;2,2;0,7;NA;25,3;2,1;0,7;2;3;533;0,02;23;0,2;248;11;Tr;0,2;Tr;;;Tr;Tr;0,06;Tr;Tr
Alimentos preparados;534;Cuscuz, paulista;68,9;142;595;2,6;4,6;15;22,5;2,4;1,3;14;5;534;0,06;26;0,3;236;53;0,05;0,2;Tr;;;Tr;Tr;Tr;0,93;Tr
