Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Carnes e derivados;323;Apresuntado;73,7;129;539;13,5;6,7;38;2,9;NA;3,3;23;15;323;0,04;225;0,9;943;270;0,03;1,6;Tr;;;0,62;0,04;Tr;0,70;Tr
Carnes e derivados;324;Caldo de carne, tablete;2,9;241;1007;7,8;16,6;Tr;15,1;0,6;57,6;129;22;324;0,02;123;Tr;22180;218;Tr;Tr;Tr; ;;0,70;0,07;0,27;Tr;
Carnes e derivados;325;Caldo de galinha, tablete;3,4;251;1052;6,3;20,4;2;10,6;11,8;59,3;16;13;325;0,13;48;0,7;22300;68;Tr;0,3;Tr; ; ;0,05;0,04;Tr;*;
Carnes e derivados;326;Carne, bovina, acém, moído, cozido;61,6;212;889;26,7;10,9;103;0,0;NA;0,8;4;17;326;0,01;164;2,7;52;256;0,06;8,1;Tr;Tr;Tr;Tr;0,32;Tr;1,76;
Carnes e derivados;327;Carne, bovina, acém, moído, cru;72,7;137;571;19,4;5,9;58;0,0;NA;0,9;3;14;327;Tr;158;1,8;49;237;0,08;6,3;2;2;2;0,15;0,21;0,03;4,33;
Carnes e derivados;328;Carne, bovina, acém, sem gordura, cozido;60,4;215;898;27,3;10,9;107;0,0;NA;0,8;7;14;328;Tr;164;2,4;56;254;0,07;8,0;Tr;Tr;Tr;Tr;0,04;0,07;1,63;
Carnes e derivados;329;Carne, bovina, acém, sem gordura, cru;71,5;144;603;20,8;6,1;53;0,0;NA;1,0;5;13;329;Tr;144;1,5;50;234;0,04;5,2;2;2;2;0,12;0,12;Tr;2,33;
Carnes e derivados;330;Carne, bovina, almôndegas, cruas;64,3;189;792;12,3;11,2;34;9,8;*;2,4;22;24;330;0,17;145;1,6;621;328;0,15;2,3;Tr; ; ;0,11;0,04;Tr;2,20; 
Carnes e derivados;331;Carne, bovina, almôndegas, fritas;48,1;272;1137;18,2;15,8;36;14,3;*;3,7;27;48;331;0,41;244;1,9;1030;536;0,19;2,6;Tr; ; ;0,13;0,07;Tr;6,60;
Carnes e derivados;332;Carne, bovina, bucho, cozido;74,1;133;557;21,6;4,5;245;0,0;NA;0,3;13;7;332;0,01;63;0,6;38;70;0,05;2,5;Tr;Tr;Tr;Tr;Tr;Tr;2,18;
Carnes e derivados;333;Carne, bovina, bucho, cru;75,0;137;574;20,5;5,5;145;0,0;NA;0,4;9;6;333;0,01;61;0,5;45;85;0,06;2,1;Tr;Tr;Tr;Tr;Tr;Tr;2,13;
Carnes e derivados;334;Carne, bovina, capa de contra-filé, com gordura, crua;64,8;217;908;19,2;15,0;63;0,0;NA;0,9;6;17;334;0,01;144;1,5;58;267;0,06;3,5;4;4;4;0,09;0,09;0,12;1,55;
Carnes e derivados;335;Carne, bovina, capa de contra-filé, com gordura, grelhada;47,9;312;1304;30,7;20,0;120;0,0;NA;1,1;7;18;335;Tr;214;2,6;81;323;0,13;6,2;Tr;Tr;Tr;Tr;0,06;Tr;1,74;
Carnes e derivados;336;Carne, bovina, capa de contra-filé, sem gordura, crua;73,0;131;548;21,5;4,3;58;0,0;NA;1,0;6;20;336;Tr;178;2,0;79;325;0,06;4,6;Tr;Tr;Tr;Tr;0,04;Tr;1,81;
Carnes e derivados;337;Carne, bovina, capa de contra-filé, sem gordura, grelhada;53,7;239;1002;35,1;10,0;80;0,0;NA;1,3;9;26;337;0,01;287;2,8;83;385;0,12;7,6;Tr;Tr;Tr;0,03;0,08;Tr;1,86;
Carnes e derivados;338;Carne, bovina, charque, cozido;45,8;263;1099;36,4;11,9;113;0,0;NA;3,6;15;13;338;0,02;101;3,5;1443;90;0,07;6,1;Tr;Tr;Tr;0,05;0,07;Tr;1,50;
Carnes e derivados;339;Carne, bovina, charque, cru;44,5;249;1041;22,7;16,8;81;0,0;NA;14,5;15;13;339;Tr;122;1,5;5875;236;0,03;3,9;Tr;Tr;Tr;0,12;0,07;Tr;1,63;
Carnes e derivados;340;Carne, bovina, contra-filé, à milanesa;42,2;352;1471;20,6;24,0;99;12,2;0,4;1,1;15;27;340;0,27;203;2,9;77;271;0,10;2,9;15;;;0,07;0,04;Tr;3,02;
Carnes e derivados;341;Carne, bovina, contra-filé de costela, cru;66,4;202;847;19,8;13,1;52;0,0;NA;1,0;3;14;341;Tr;164;1,6;39;245;0,04;4,4;3;3;3;0,14;0,08;Tr;2,68;
Carnes e derivados;342;Carne, bovina, contra-filé de costela, grelhado;52,2;275;1150;29,9;16,3;98;0,0;NA;1,2;4;24;342;0,01;252;2,8;51;383;0,08;6,7;Tr;Tr;Tr;Tr;0,19;0,17;2,75;
Carnes e derivados;343;Carne, bovina, contra-filé, com gordura, cru;65,7;206;861;21,2;12,8;73;0,0;NA;0,9;4;18;343;0,01;164;1,3;44;285;0,04;2,8;4;4;4;0,11;0,08;0,03;3,79;
Carnes e derivados;344;Carne, bovina, contra-filé, com gordura, grelhado;51,7;278;1163;32,4;15,5;144;0,0;NA;1,2;4;19;344;Tr;219;2,4;57;352;0,09;4,8;Tr;Tr;Tr;Tr;0,18;0,13;4,91;
Carnes e derivados;345;Carne, bovina, contra-filé, sem gordura, cru;69,1;157;655;24,0;6,0;59;0,0;NA;1,0;4;21;345;Tr;184;1,7;53;335;0,05;3,2;Tr;Tr;Tr;Tr;0,20;Tr;4,64;
Carnes e derivados;346;Carne, bovina, contra-filé, sem gordura, grelhado;57,5;194;810;35,9;4,5;102;0,0;NA;1,3;5;21;346;Tr;241;2,4;58;386;0,09;5,1;Tr;Tr;Tr;Tr;0,17;0,16;4,93;
Carnes e derivados;347;Carne, bovina, costela, assada;43,2;373;1561;28,8;27,7;95;0,0;NA;1,0;28;20;347;Tr;179;2,2;92;270;0,08;5,5;Tr;Tr;Tr;Tr;0,08;0,35;0,56;
Carnes e derivados;348;Carne, bovina, costela, crua;52,7;358;1497;16,7;31,8;44;0,0;NA;0,9;*;12;348;Tr;130;1,2;70;151;Tr;2,7;5;5;5;0,12;0,11;Tr;5,99;
