Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Frutas e derivados;163;Abacate, cru;83,8;96;402;1,2;8,4;NA;6,0;6,3;0,5;8;15;163;0,17;22;0,2;Tr;206;0,15;0,2;NA;;;Tr;0,04;Tr;Tr;8,7
Frutas e derivados;164;Abacaxi, cru;86,3;48;202;0,9;0,1;NA;12,3;1,0;0,4;22;18;164;1,62;13;0,3;Tr;131;0,11;0,1;NA;;;0,17;0,02;Tr;Tr;34,6
Frutas e derivados;165;Abacaxi, polpa, congelada;91,3;31;128;0,5;0,1;NA;7,8;0,3;0,3;14;10;165;1,02;8;0,4;1;107;0,04;0,1;NA;2;1;0,05;Tr;Tr;Tr;1,2
Frutas e derivados;166;Abiu, cru;83,1;62;261;0,8;0,7;NA;14,9;1,7;0,4;6;9;166;0,08;20;0,2;Tr;128;0,09;0,1;NA;;;Tr;0,04;0,05;Tr;10,3
Frutas e derivados;167;Açaí, polpa, com xarope de guaraná e glucose;73,9;110;461;0,7;3,7;NA;21,5;1,7;0,3;22;13;167;3,29;11;0,3;15;75;0,14;0,2;NA;;;Tr;Tr;0,07;Tr;10,3
Frutas e derivados;168;Açaí, polpa, congelada;88,7;58;243;0,8;3,9;NA;6,2;2,6;0,3;35;17;168;6,16;16;0,4;5;124;0,18;0,3;NA;;;Tr;0,04;0,07;Tr;Tr
Frutas e derivados;169;Acerola, crua;90,5;33;140;0,9;0,2;NA;8,0;1,5;0,4;13;13;169;0,07;9;0,2;Tr;165;0,07;0,1;NA;247;124;Tr;0,04;Tr;1,38;941,4
Frutas e derivados;170;Acerola, polpa, congelada;93,6;22;92;0,6;Tr;NA;5,5;0,7;0,3;8;9;170;0,03;13;0,2;1;112;0,04;0,1;NA;192;96;Tr;0,10;Tr;Tr;623,2
Frutas e derivados;171;Ameixa, calda, enlatada ;52,2;183;765;0,4;Tr;NA;46,9;0,5;0,5;13;10;171;0,10;21;2,2;3;221;0,03;0,1;NA;;;Tr;0,23;0,37;Tr;4,3
Frutas e derivados;172;Ameixa, crua;84,8;53;220;0,8;Tr;NA;13,9;2,4;0,6;6;5;172;0,03;14;0,1;Tr;134;0,06;0,1;NA;27;14;0,07;Tr;0,03;Tr;7,6
Frutas e derivados;173;Ameixa, em calda, enlatada, drenada ;50,3;177;742;1,0;0,3;NA;47,7;4,5;0,7;39;14;173;0,20;26;2,7;3;263;0,16;0,2;NA;;;Tr;0,22;0,08;Tr;5,2
Frutas e derivados;174;Atemóia, crua;72,7;97;406;1,0;0,3;NA;25,3;2,1;0,7;23;25;174;0,16;23;0,2;1;300;0,17;0,2;NA;;;0,09;0,07;0,07;1,58;10,1
Frutas e derivados;175;Banana, da terra, crua;63,9;128;536;1,4;0,2;NA;33,7;1,5;0,8;4;24;175;0,16;26;0,3;Tr;328;0,05;0,2;NA;239;119;0,03;0,02;0,14;Tr;15,7
Frutas e derivados;176;Banana, doce em barra;21,1;280;1172;2,2;0,1;NA;75,7;3,8;1,0;12;49;176;0,84;37;0,6;10;518;0,16;0,3;NA;27;14;0,03;Tr;0,06;1,41;Tr
