Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Gorduras e óleos;259;Azeite, de dendê;NA;884;3699;NA;100,0;NA;NA;NA;;;;259;;;;;;;;NA;;;;;;;
Gorduras e óleos;260;Azeite, de oliva, extra virgem;NA;884;3699;NA;100,0;NA;NA;NA;;;;260;;;;;;;;NA;;;;;;;
Gorduras e óleos;261;Manteiga, com sal;15,8;726;3037;0,4;82,4;201;0,1;NA;1,4;9;1;261;Tr;28;0,2;579;15;Tr;Tr;924;;;Tr;Tr;Tr;Tr;Tr
Gorduras e óleos;262;Manteiga, sem sal;13,6;758;3170;0,4;86,0;214;0,0;NA;0,1;4;1;262;Tr;7;Tr;4;5;0,04;Tr;1013;;;Tr;Tr;Tr;Tr;Tr
Gorduras e óleos;263;Margarina, com óleo hidrogenado, com sal (65% de lipídeos);32,2;596;2494;Tr;67,4;NA;0,0;NA;1,9;6;1;263;Tr;7;0,1;894;21;Tr;Tr;462;;;Tr;Tr;Tr;Tr;Tr
Gorduras e óleos;264;Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);19,6;723;3023;Tr;81,7;NA;0,0;NA;0,2;3;1;264;Tr;4;0,1;78;2;Tr;Tr;534;;;Tr;Tr;Tr;Tr;Tr
Gorduras e óleos;265;Margarina, com óleo interesterificado, com sal (65%de lipídeos);32,0;594;2487;Tr;67,2;NA;0,0;NA;1,2;5;1;265;Tr;6;Tr;561;15;Tr;Tr;385;;;Tr;Tr;Tr;Tr;Tr
Gorduras e óleos;266;Margarina, com óleo interesterificado, sem sal (65% de lipídeos);33,4;593;2482;Tr;67,1;NA;0,0;NA;0,1;5;1;266;Tr;7;0,1;33;5;Tr;Tr;245;;;Tr;Tr;Tr;Tr;Tr
Gorduras e óleos;267;Óleo, de babaçu;NA;884;3699;NA;100,0;NA;NA;NA;;;;267;;;;;;;;NA;;;;;;;
Gorduras e óleos;268;Óleo, de canola;NA;884;3699;NA;100,0;NA;NA;NA;;;;268;;;;;;;;NA;;;;;;;
Gorduras e óleos;269;Óleo, de girassol;NA;884;3699;NA;100,0;NA;NA;NA;;;;269;;;;;;;;NA;;;;;;;
Gorduras e óleos;270;Óleo, de milho;NA;884;3699;NA;100,0;NA;NA;NA;;;;270;;;;;;;;NA;;;;;;;
Gorduras e óleos;271;Óleo, de pequi;NA;884;3699;NA;100,0;NA;NA;NA;;;;271;;;;;;;;NA;;;;;;;
Gorduras e óleos;272;Óleo, de soja;NA;884;3699;NA;100,0;NA;NA;NA;;;;272;;;;;;;;NA;;;;;;;
