Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Pescados e frutos do mar;273;Abadejo, filé, congelado, assado;74,3;112;467;23,5;1,2;103;0,0;NA;1,6;23;20;273;Tr;338;0,5;334;156;0,03;0,5;Tr;Tr;Tr;Tr;Tr;Tr;0,44;
Pescados e frutos do mar;274;Abadejo, filé, congelado,cozido;79,7;91;381;19,3;0,9;87;0,0;NA;0,9;17;16;274;Tr;351;0,3;189;146;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;Tr;
Pescados e frutos do mar;275;Abadejo, filé, congelado, cru;86,4;59;247;13,1;0,4;31;0,0;NA;0,6;10;14;275;0,01;91;0,1;79;148;0,14;0,4;Tr;Tr;Tr;0,04;Tr;Tr;4,60;
Pescados e frutos do mar;276;Abadejo, filé, congelado, grelhado;71,0;130;542;27,6;1,3;136;0,0;NA;1,6;20;22;276;Tr;581;0,3;305;279;Tr;0,4;6;6;6;0,03;Tr;Tr;0,44;
Pescados e frutos do mar;277;Atum, conserva em óleo;64,5;166;694;26,2;6,0;53;0,0;NA;1,5;7;29;277;Tr;211;1,2;362;280;0,04;0,6;Tr;Tr;Tr;0,15;0,03;Tr;3,17;
Pescados e frutos do mar;278;Atum, fresco, cru;73,1;118;492;25,7;0,9;48;0,0;NA;1,3;7;32;278;Tr;254;1,3;30;308;0,09;0,4;20;20;20;Tr;0,04;Tr;5,94;
Pescados e frutos do mar;279;Bacalhau, salgado, cru;47,9;136;569;29,0;1,3;139;0,0;NA;22,5;157;49;279;0,03;186;0,9;13585;434;0,09;0,7;Tr;Tr;Tr;Tr;0,21;Tr;*;
Pescados e frutos do mar;280;Bacalhau, salgado, refogado;65,9;140;584;24,0;3,6;112;1,2;*;5,3;59;15;280;Tr;51;0,2;1256;50;0,04;0,6;Tr;Tr;Tr;0,03;0,05;Tr;5,17;Tr
Pescados e frutos do mar;281;Cação, posta, com farinha de trigo, frita;60,6;208;872;25,0;10,0;75;3,1;0,5;1,4;30;26;281;0,06;462;1,0;160;420;Tr;0,6;17;17;17;Tr;Tr;Tr;0,77;
Pescados e frutos do mar;282;Cação, posta, cozida;75,9;116;485;25,6;0,7;83;0,0;NA;1,2;10;21;282;Tr;204;0,3;115;249;0,03;0,6;12;12;12;Tr;0,04;Tr;9,77;
